OSEBuildingID;BuildingType;PrimaryPropertyType;CouncilDistrictCode;Neighborhood;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);ListOfAllPropertyUseTypes;LargestPropertyUseType;LargestPropertyUseTypeGFA;SecondLargestPropertyUseType;SecondLargestPropertyUseTypeGFA;ThirdLargestPropertyUseType;ThirdLargestPropertyUseTypeGFA;ENERGYSTARScore;SiteEUI(kBtu/sf);SiteEUIWN(kBtu/sf);SourceEUI(kBtu/sf);SourceEUIWN(kBtu/sf);SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);SteamUse(kBtu);Electricity(kWh);Electricity(kBtu);NaturalGas(therms);NaturalGas(kBtu);TotalGHGEmissions;GHGEmissionsIntensity;ComplianceStatus;Outlier;ZipCode;Latitude;Longitude;NbProperty;BuildingAge
1;NonResidential;hotel_catering -;7;downtown;1;12;88434;0.0;88434.0;hotel_catering -;hotel_catering -;88434.0;none;0.0;none;0.0;60.0;81.69999695;84.30000305;182.5;189.0;7226362.5;7456910.0;2003882.0;1156514.25;3946027.0;12764.5293;1276453.0;249.98;2.83;Compliant;;98101;47.6122;-122.33799;1;89
2;NonResidential;hotel_catering -;7;downtown;1;11;103566;15064.0;88502.0;hotel_catering -;hotel_catering -;83880.0;none;15064.0;hotel_catering -;4622.0;61.0;94.80000305;97.90000153;176.1000061;179.3999939;8387933.0;8664479.0;0.0;950425.1875;3242851.0;51450.81641;5145082.0;295.86;2.86;Compliant;;98101;47.61317;-122.33393;3;20
3;NonResidential;hotel_catering -;7;downtown;1;41;956110;196718.0;759392.0;hotel_catering -;hotel_catering -;756493.0;none;0.0;none;0.0;43.0;96.0;97.69999695;241.8999939;244.1000061;72587024.0;73937112.0;21566554.0;14515435.0;49526664.0;14938.0;1493800.0;2089.28;2.19;Compliant;;98101;47.61393;-122.3381;1;47
5;NonResidential;hotel_catering -;7;downtown;1;10;61320;0.0;61320.0;hotel_catering -;hotel_catering -;61320.0;none;0.0;none;0.0;56.0;110.8000031;113.3000031;216.1999969;224.0;6794584.0;6946800.5;2214446.25;811525.3125;2768924.0;18112.13086;1811213.0;286.43;4.67;Compliant;;98101;47.61412;-122.33664;1;90
8;NonResidential;hotel_catering -;7;downtown;1;18;175580;62000.0;113580.0;hotel_catering - leisure -;hotel_catering -;123445.0;none;68009.0;leisure -;0.0;75.0;114.8000031;118.6999969;211.3999939;215.6000061;14172606.0;14656503.0;0.0;1573448.625;5368607.0;88039.98438;8803998.0;505.01;2.88;Compliant;;98121;47.61375;-122.34047;3;36
9;Nonresidential COS;none;7;downtown;1;2;97288;37198.0;60090.0;public service -;public service -;88830.0;none;0.0;none;0.0;;136.1000061;141.6000061;316.2999878;320.5;12086616.0;12581712.0;0.0;2160443.75;7371434.0;47151.81641;4715182.0;301.81;3.1;Compliant;;98101;47.61623;-122.33657;1;17
10;NonResidential;hotel_catering -;7;downtown;1;11;83008;0.0;83008.0;hotel_catering -;hotel_catering -;81352.0;none;0.0;none;0.0;27.0;70.80000305;74.5;146.6000061;154.6999969;5758795.0;6062767.5;0.0;823919.875;2811215.0;29475.80078;2947580.0;176.14;2.12;Compliant;;98101;47.6139;-122.33283;1;90
11;NonResidential;none;7;downtown;1;8;102761;0.0;102761.0;leisure -;leisure -;102761.0;none;0.0;none;0.0;;61.29999924;68.80000305;141.6999969;152.3000031;6298131.5;7067881.5;2276286.5;1065842.75;3636655.0;3851.890137;385189.0;221.51;2.16;Compliant;;98101;47.61327;-122.33136;1;90
12;NonResidential;hotel_catering -;7;downtown;1;15;163984;0.0;163984.0;hotel_catering -;hotel_catering -;163984.0;none;0.0;none;0.0;43.0;83.69999695;86.59999847;180.8999939;187.1999969;13723820.0;14194054.0;0.0;2138897.75;7297919.0;64259.0;6425900.0;392.16;2.39;Compliant;;98104;47.60294;-122.33263;1;112
13;Multifamily MR (5-9);residential -;7;downtown;1;6;63712;1496.0;62216.0;residential -;residential -;56132.0;none;0.0;none;0.0;1.0;81.5;85.59999847;182.6999969;187.3999939;4573777.0;4807679.5;1039735.188;742091.1875;2532015.0;10020.25977;1002026.0;151.12;2.37;Compliant;;98104;47.60284;-122.33184;1;106
